60	30	Orig. Arch. des Médicis à Florence, dalla filza 4726, nuova numerazione, p. 449.		base			1
61	31	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f74">p. 28</a>.	édition	base			1
62	31	Copie. Bibl. nat., Fonds Dupuy, n° 350, f° 65 v°.		base			1
63	32	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f74">p. 28</a>.	édition	base			1
64	32	Imprimé dans les <cite>Additions</cite> aux <cite>Mémoires</cite> de <cite>Castelnau</cite>, t. III, p. 554.		base			1
65	33	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f75">p. 29</a>.	édition	base			1
66	33	Aut. Bibl. nat., Fonds français, n° 3345 f° 1 r°.		base			1
67	34	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f76">p. 30</a>.	édition	base			1
68	34	Impr. dans les <cite>Mém. </cite> de <cite>Castelnau</cite>, t. III, p. 555.		base			1
69	35	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f76">p. 30</a>.	édition	base			1
70	35	Copie. Arch. nat., collect. Simancas, K 1544, n° 52.		base			1
71	36	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f76">p. 30</a>.	édition	base			1
72	36	Orig. Bibl. nat., Fonds français, n° 15905, f° 83.		base			1
73	37	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f77">p. 31</a>.	édition	base			1
74	37	Copie, Bibl. nat., Fonds français, n° 3304, f° 127.		base			1
75	38	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f78">p. 32</a>.	édition	base			1
